Filename,AudioPath,ActorID,Age,Sex,Race,SentenceCode,Sentence,EmotionCode,Emotion,LevelCode,Level,meanF0,sdF0,iqrF0,confidence
1001_DFA_ANG_XX.wav,crema-d-mirror/AudioWAV/1001_DFA_ANG_XX.wav,1001,51,Male,Caucasian,DFA,Don't forget a jacket,ANG,Anger,XX,Unspecified,155.68356609684776,26.5421089525694,11.227619141466533,0.6360944509506226
1001_DFA_DIS_XX.wav,crema-d-mirror/AudioWAV/1001_DFA_DIS_XX.wav,1001,51,Male,Caucasian,DFA,Don't forget a jacket,DIS,Disgust,XX,Unspecified,161.3641420796027,56.685137601308334,111.4221163809463,0.6150144338607788
1001_DFA_FEA_XX.wav,crema-d-mirror/AudioWAV/1001_DFA_FEA_XX.wav,1001,51,Male,Caucasian,DFA,Don't forget a jacket,FEA,Fear,XX,Unspecified,197.69282520742686,27.42066391181366,39.376740426269464,0.6526247262954712
1001_DFA_HAP_XX.wav,crema-d-mirror/AudioWAV/1001_DFA_HAP_XX.wav,1001,51,Male,Caucasian,DFA,Don't forget a jacket,HAP,Happy,XX,Unspecified,196.75289915754348,26.558713772817974,49.99813289894527,0.656977117061615
1001_DFA_NEU_XX.wav,crema-d-mirror/AudioWAV/1001_DFA_NEU_XX.wav,1001,51,Male,Caucasian,DFA,Don't forget a jacket,NEU,Neutral,XX,Unspecified,182.93417028024365,45.50735397490155,98.1785314764125,0.628856897354126
1001_DFA_SAD_XX.wav,crema-d-mirror/AudioWAV/1001_DFA_SAD_XX.wav,1001,51,Male,Caucasian,DFA,Don't forget a jacket,SAD,Sad,XX,Unspecified,187.24799890741815,48.047531206498924,91.76406119950894,0.6078118085861206
1001_IEO_ANG_HI.wav,crema-d-mirror/AudioWAV/1001_IEO_ANG_HI.wav,1001,51,Male,Caucasian,IEO,It's eleven o'clock,ANG,Anger,HI,High,171.4370781673685,33.57970547217501,29.63256252960656,0.6844490766525269
1001_IEO_ANG_LO.wav,crema-d-mirror/AudioWAV/1001_IEO_ANG_LO.wav,1001,51,Male,Caucasian,IEO,It's eleven o'clock,ANG,Anger,LO,Low,179.86214305812308,52.31168009606638,89.43780805655314,0.6405686736106873
1001_IEO_ANG_MD.wav,crema-d-mirror/AudioWAV/1001_IEO_ANG_MD.wav,1001,51,Male,Caucasian,IEO,It's eleven o'clock,ANG,Anger,MD,Medium,155.87136502406125,48.549233544141174,107.66970125257839,0.6434797644615173
1001_IEO_DIS_HI.wav,crema-d-mirror/AudioWAV/1001_IEO_DIS_HI.wav,1001,51,Male,Caucasian,IEO,It's eleven o'clock,DIS,Disgust,HI,High,145.40133446085872,32.16294086146653,47.2182913271688,0.6549558043479919
